"We were unable to process your payment! Please check your input or try again later.","Мы не можем обработать вашу оплату! Проверьте введенные данные и попробуйте еще раз."
"Your payment session has been cancelled successfully!","Процесс оплаты был отменен!"
"Click here, if you are not redirected within 10 seconds...","Нажмите сюда, если вас не перенаправили в течение 10 секунд..."
"Payment","Оплата"
"Authorization","Предавторизация"
"Error to load the order","Ошибка загрузки заказа"
"Error to load the order data","Ошибка загрузки данных о заказе"
"Order # %s payment","Оплата заказа # %s"
"Error to get a payment token. Contact the store administrator.","Ошибка получения токена для оплаты. Свяжитесь с администратором магазина."
"Refunded from Magento","Возвращено через Magento"
"3-D Secure: Redirecting customer to a verification page.","3-D Secure: Перенаправляем покупателя на страницу проверки."
"More details about the individual transactions can be found under the Transactions section","Детальная информация о каждой транзакции может быть найдена в секции Транзакции"
"You will be redirected to our partner's website, where you can safely pay.","Вы будете перенаправлены на сайт нашего партнера, где сможете безопасно оплатить."
"You are being redirected!","Перенаправление!"
"You are being redirected to a secure page, where you can complete your payment!","Вы будете перенаправлены на безопасную страницу оплаты нашего партнера, где вы завершите процесс оплаты!"
"Checkout payment method - receive credit-card payments, without the need of PCI-DSS certificate or HTTPS. Note: Upon checkout, the customer will be redirected to a secure payment form, located on our servers and we will notify you, once the payment reached a final status","Note: Upon checkout, the customer will be redirected to a secure payment form, located on our servers and we will notify you, once the payment reached a final status","Принимайте оплату банковскими картами без сертификации по стандарту PCI DSS или на сайте без сертификата HTTPS. Примечание: во время оплаты клиент будет перенаправлен на защищенную страницу платежной системы. После оплаты вы получите уведомление."
"Shop ID","ID магазина"
"Shop Secret Key","Секретный ключ магазина"
"Gateway Domain","Домен платежного шлюза"
"Payment gateway domain e.g. gateway.example.com of your payment provider","Домен платёжного шлюза Вашей платёжной системы. Например, gateway.example.com"
"Checkout Domain","Домен страницы оплаты"
"Checkout domain e.g. checkout.example.com of your payment provider","Домен страницы оплаты Вашей платёжной системы. Например, checkout.example.com"
"Payment Action","Тип операции"
"Enable Credit Card payments","Включить оплату банковскими картами"
"Enable Halva payments","Включить оплату картой Халва"
"Enable ERIP payments","Включить оплату через ЕРИП"
"ERIP service number","Код услуги ЕРИП"
"Direct API - allow customers to enter their CreditCard information on your website. Note: You need PCI-DSS certificate in order to enable this payment method.","Оплата на сайте магазина - разрешить покупателям вводить данные их банковских карт на сайте магазина. Примечание: у Вас должна быть сертификация по стандарту PCI DSS."
"Test mode","Тестовый режим"
